Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.245.1,13 Jun 24,14:46:34,14 Jun 24,02:45:00,16067.92
100.71.249.254,14 Jun 24,02:46:23,14 Jun 24,14:45:59,6404.15
100.71.32.210,14 Jun 24,14:46:34,15 Jun 24,02:45:00,13859.11
100.71.239.51,15 Jun 24,02:46:23,15 Jun 24,14:45:59,10374.5
100.71.115.175,15 Jun 24,14:46:37,16 Jun 24,02:45:00,11861.6
100.71.240.84,16 Jun 24,02:46:24,16 Jun 24,14:45:59,12255.58
100.71.200.112,16 Jun 24,14:46:31,16 Jun 24,21:57:59,8341.16
100.71.236.131,16 Jun 24,22:00:11,17 Jun 24,02:45:00,2217.52
100.71.159.25,17 Jun 24,02:46:19,17 Jun 24,08:56:59,2055.13
100.71.9.15,17 Jun 24,08:59:58,17 Jun 24,20:59:59,10558.54
100.71.185.34,17 Jun 24,21:00:09,18 Jun 24,02:45:00,5798.92
100.71.38.250,18 Jun 24,02:46:23,18 Jun 24,14:45:59,6885.15
100.71.141.117,18 Jun 24,14:46:34,19 Jun 24,02:45:00,9895.01
100.71.157.16,19 Jun 24,02:46:22,19 Jun 24,11:37:59,7144.22
100.71.137.147,21 Jun 24,12:40:21,22 Jun 24,00:39:59,14356.75
100.71.138.236,22 Jun 24,00:40:29,22 Jun 24,02:45:00,426.43
100.71.62.176,22 Jun 24,02:46:23,22 Jun 24,14:45:59,16634.19
100.71.185.203,22 Jun 24,14:46:35,23 Jun 24,02:45:00,16900.59
100.71.121.25,23 Jun 24,02:46:23,23 Jun 24,14:45:59,26040.11
100.71.37.243,23 Jun 24,14:46:31,23 Jun 24,16:13:00,3336.53
100.71.79.18,25 Jun 24,17:44:49,25 Jun 24,17:53:59,679.67
100.71.41.72,25 Jun 24,17:54:23,26 Jun 24,02:45:00,7658.31
100.71.98.80,26 Jun 24,02:46:22,26 Jun 24,14:45:59,9456.13
100.71.47.149,26 Jun 24,14:46:34,27 Jun 24,02:45:00,17276.2
100.71.140.110,27 Jun 24,02:46:22,27 Jun 24,14:45:59,12038.97
100.71.110.84,27 Jun 24,14:46:33,28 Jun 24,02:45:00,12417.72
100.71.118.207,28 Jun 24,02:46:23,28 Jun 24,14:45:59,17095.43
100.71.159.174,28 Jun 24,14:46:35,29 Jun 24,02:45:00,14321.39
100.71.224.53,29 Jun 24,02:46:23,29 Jun 24,11:00:59,6720.3
100.71.81.20,29 Jun 24,11:01:31,29 Jun 24,23:00:59,16957.03
100.71.101.182,29 Jun 24,23:01:39,30 Jun 24,02:45:00,3577.12
100.71.248.169,30 Jun 24,02:46:20,30 Jun 24,09:59:00,5828.88
100.71.254.123,30 Jun 24,09:59:52,30 Jun 24,21:59:00,24447.4
100.71.100.170,30 Jun 24,22:00:00,01 Jul 24,02:45:00,7694.14
100.71.145.120,01 Jul 24,02:46:22,01 Jul 24,14:45:59,13893.77
100.71.149.22,01 Jul 24,14:46:31,02 Jul 24,02:45:00,18865.15
100.71.186.15,02 Jul 24,02:46:22,02 Jul 24,14:45:59,15279.42
