Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.141.171,01 Sep 22,14:46:37,02 Sep 22,02:45:00,18890.68
100.71.167.41,02 Sep 22,02:46:26,02 Sep 22,14:45:59,15170.37
100.71.205.156,02 Sep 22,14:46:34,02 Sep 22,17:21:00,3081.28
100.71.107.168,02 Sep 22,17:22:07,03 Sep 22,02:45:00,11951.29
100.71.194.228,03 Sep 22,02:46:26,03 Sep 22,14:45:59,9294.32
100.71.134.239,03 Sep 22,14:46:37,04 Sep 22,02:45:00,19864.97
100.71.204.88,04 Sep 22,02:46:30,04 Sep 22,14:45:59,16238.22
100.71.141.87,04 Sep 22,14:46:42,05 Sep 22,02:45:00,28499.28
100.71.252.233,05 Sep 22,02:46:24,05 Sep 22,14:45:59,15069.58
100.71.208.28,05 Sep 22,14:46:35,06 Sep 22,02:45:00,22069.78
100.71.219.253,06 Sep 22,02:46:24,06 Sep 22,14:45:59,10490.68
100.71.226.108,06 Sep 22,14:46:34,07 Sep 22,02:45:00,23409.04
100.71.230.146,07 Sep 22,02:46:26,07 Sep 22,14:45:59,12132.17
100.71.89.30,07 Sep 22,14:46:37,08 Sep 22,02:45:00,20670.31
100.71.103.42,08 Sep 22,02:46:23,08 Sep 22,14:45:59,17749.75
100.71.144.209,08 Sep 22,14:46:34,09 Sep 22,02:45:00,21843.73
100.71.158.85,09 Sep 22,02:46:24,09 Sep 22,14:45:59,13490.86
100.71.102.15,09 Sep 22,14:46:35,10 Sep 22,02:45:00,23592.95
100.71.231.79,10 Sep 22,02:46:24,10 Sep 22,09:35:00,3320.99
100.71.46.235,10 Sep 22,09:35:22,10 Sep 22,17:58:00,11568.65
100.71.153.236,10 Sep 22,18:42:42,11 Sep 22,02:45:00,15752.94
100.71.19.27,11 Sep 22,02:46:27,11 Sep 22,14:45:59,14001.55
100.71.143.246,11 Sep 22,14:46:38,12 Sep 22,02:45:00,14672.25
100.71.158.134,12 Sep 22,02:46:27,12 Sep 22,14:45:59,9445.6
100.71.77.207,12 Sep 22,14:46:34,12 Sep 22,17:53:59,5716.63
100.71.109.200,12 Sep 22,17:54:57,13 Sep 22,02:45:00,15939.94
100.71.29.8,13 Sep 22,02:46:23,13 Sep 22,14:45:59,13217.34
100.71.2.132,13 Sep 22,14:46:34,13 Sep 22,20:56:59,9183.41
100.71.59.142,13 Sep 22,20:57:14,13 Sep 22,20:56:59,0.53
100.71.98.148,13 Sep 22,20:57:52,13 Sep 22,21:09:00,1285.33
100.71.58.137,13 Sep 22,21:10:03,13 Sep 22,21:55:59,4680.03
100.71.220.34,13 Sep 22,21:57:27,14 Sep 22,02:45:00,2640.12
100.71.187.164,14 Sep 22,02:46:26,14 Sep 22,14:45:59,16224.91
100.71.251.223,14 Sep 22,14:46:38,15 Sep 22,02:45:00,24003.75
100.71.177.104,15 Sep 22,02:46:20,15 Sep 22,07:47:59,1917.51
100.71.90.86,15 Sep 22,08:04:18,15 Sep 22,08:17:59,164.14
100.71.185.254,15 Sep 22,08:36:40,15 Sep 22,09:12:00,208.88
100.71.10.129,15 Sep 22,09:20:15,15 Sep 22,09:46:00,43.16
100.71.174.61,15 Sep 22,09:52:14,15 Sep 22,10:02:59,17.22
100.71.146.128,15 Sep 22,10:17:45,15 Sep 22,10:34:59,62.9
100.71.86.9,15 Sep 22,10:37:46,15 Sep 22,10:44:00,2.2
100.71.144.180,15 Sep 22,10:45:35,15 Sep 22,11:03:00,33.87
100.71.189.2,15 Sep 22,11:28:46,15 Sep 22,11:46:59,212.88
100.71.52.222,15 Sep 22,11:49:11,15 Sep 22,12:17:00,250.11
100.71.95.80,15 Sep 22,12:24:21,15 Sep 22,12:39:59,521.44
100.71.159.184,15 Sep 22,12:47:22,15 Sep 22,13:23:00,2176.45
100.71.179.221,15 Sep 22,13:54:41,15 Sep 22,14:35:00,1454.12
100.71.16.177,15 Sep 22,15:07:49,15 Sep 22,18:09:00,8540.01
100.71.122.219,16 Sep 22,10:54:40,16 Sep 22,12:01:59,177.85
